,0
169,Lipids_POS_884.8407_471.3453_352.3389
170,Lipids_NEG_726.6247_406.9023_302.9161
171,Lipids_NEG_774.5695_328.6846_301.5932
172,Lipids_NEG_711.4464_305.9117_292.7007
173,Lipids_POS_831.6946_379.4069_327.6679
174,Lipids_POS_708.6124_393.7858_294.5067
175,Lipids_POS_842.6372_338.0054_321.2732
176,Lipids_NEG_602.0877_257.1985_232.0794
177,Lipids_POS_902.7441_391.7312_339.3501
178,Lipids_POS_806.5660_337.3017_308.3179
179,Lipids_POS_736.5589_309.3404_304.8387
180,Lipids_NEG_870.6125_341.4300_320.5842
181,Lipids_NEG_634.6126_406.5459_292.9875
182,Lipids_NEG_908.5984_342.1221_334.1605
183,Lipids_NEG_835.5333_321.7051_302.8461
184,Lipids_POS_820.6519_364.1605_324.6770
185,Lipids_POS_862.7849_469.8288_336.6654
186,Lipids_NEG_313.0780_162.2634_176.0613
187,Lipids_POS_508.3759_197.2141_242.6119
188,Lipids_POS_888.7633_404.3078_337.3197
189,Lipids_POS_805.6752_380.5196_322.3915
190,Lipids_NEG_872.5645_298.0497_314.2384
191,Lipids_POS_846.9341_366.1076_329.2185
192,Lipids_NEG_692.6192_393.5426_294.4998
193,Lipids_POS_504.4070_325.5698_251.1109
194,Lipids_NEG_353.3421_315.3136_205.7529
195,Lipids_POS_673.5537_362.2435_293.1690
196,Lipids_NEG_878.6256_351.0652_326.2995
197,Lipids_POS_1608.1946_346.4489_493.4648
198,Lipids_POS_579.5245_450.0570_273.1969
199,Lipids_POS_1523.3691_447.5322_521.3219
200,Lipids_NEG_713.0530_444.6508_276.0865
201,Lipids_NEG_1133.8580_413.3803_377.6201
202,Lipids_POS_758.5607_285.0006_296.7224
203,Lipids_POS_870.9375_354.8901_328.9701
204,Lipids_POS_871.5715_363.1176_316.9820
205,Lipids_NEG_581.3350_303.6213_262.0750
206,Lipids_NEG_582.5087_339.9053_266.2503
207,Lipids_NEG_844.5694_289.3085_312.5522
208,Lipids_NEG_461.1150_513.4176_219.1413
209,Lipids_NEG_367.3575_336.5891_209.8514
210,Lipids_POS_760.5825_296.1391_305.0105
211,Lipids_POS_813.2995_371.9126_320.3341
212,Lipids_POS_835.1427_340.2381_314.1642
213,Lipids_NEG_283.4143_265.5883_184.3863
214,Lipids_NEG_329.2483_221.2845_196.6111
215,Lipids_POS_1188.3507_513.6739_336.7170
216,Lipids_POS_740.6755_426.2582_309.0007
217,Lipids_POS_613.5295_362.3865_296.5948
218,Lipids_POS_893.2559_377.2739_290.7061
219,Lipids_NEG_819.0198_349.3771_311.2676
220,Lipids_NEG_774.5070_309.7385_295.1660
221,Lipids_POS_356.3520_202.2460_210.9004
222,Lipids_POS_786.5918_304.2721_304.7413
223,Lipids_POS_752.5576_328.6112_294.8272
224,Lipids_POS_759.3313_333.4104_298.7418
225,Lipids_NEG_581.1035_371.9427_236.1409
226,Lipids_POS_842.5837_337.5784_321.3773
227,Lipids_NEG_1173.7606_325.5544_387.2813
228,Lipids_POS_909.7289_455.6771_339.3156
229,Lipids_POS_538.3862_227.4236_250.8507
230,Lipids_NEG_712.6424_406.3673_302.8363
231,Lipids_POS_780.6698_395.3005_315.1220
232,Lipids_NEG_1604.1840_350.4319_487.2917
233,Lipids_NEG_461.1145_397.5721_220.7560
234,Lipids_POS_818.5899_303.0555_311.0191
235,Lipids_NEG_918.8479_489.8845_351.3104
236,Lipids_POS_818.6362_348.5316_321.8306
237,Lipids_NEG_490.9981_368.3738_229.1304
238,Lipids_POS_756.5889_383.1474_297.4175
239,Lipids_NEG_1670.1367_322.5138_491.4801
240,Lipids_POS_727.5623_380.9524_308.9586
241,Lipids_NEG_1016.8042_413.4118_359.5753
242,Lipids_NEG_311.1680_441.7371_193.0363
243,Lipids_NEG_820.1854_344.8254_288.3867
244,Lipids_NEG_627.5584_388.2831_277.8463
245,Lipids_POS_988.6489_297.3937_342.3121
246,Lipids_POS_869.3719_303.4652_332.0354
247,Lipids_NEG_540.4624_310.9920_371.4590
248,Lipids_NEG_310.8379_48.6147_133.8410
249,Lipids_POS_960.4855_302.4991_326.4248
250,Lipids_NEG_1055.2449_443.7421_319.4903
251,Lipids_POS_818.6061_335.7105_315.2968
252,Lipids_POS_1517.8611_332.8735_467.2656
253,Lipids_NEG_395.1892_48.4431_209.7744
254,Lipids_NEG_742.5389_355.4270_287.5049
255,Lipids_NEG_1500.1571_526.4892_378.3184
256,Lipids_NEG_907.2063_397.7360_298.0025
257,Lipids_POS_867.7050_367.0356_329.4262
258,Lipids_NEG_956.6549_380.9981_344.4727
259,Lipids_NEG_749.1336_367.9806_268.7038
260,Lipids_NEG_539.3247_528.2578_249.9860
261,Lipids_NEG_540.6747_311.3572_255.9743
